"species","x","y","year","ID"
"Araucaria angustifolia",-51.0211,-27.1975,"2018","556"
"Araucaria angustifolia",-50.8164,-27.8358,"2018","563"
"Araucaria angustifolia",-50.5794,-27.9014,"2018","564"
"Araucaria angustifolia",-50.2358,-28.1997,"2018","565"
"Araucaria angustifolia",-50.4,-28.3503,"2018","566"
"Araucaria angustifolia",-52.74,-26.955,"2018","567"
"Araucaria angustifolia",-49.0544,-24.1347,"2018","571"
"Araucaria angustifolia",-49.4575,-23.8781,"2018","574"
"Araucaria angustifolia",-46.6675,-22.6894,"2018","575"
"Araucaria angustifolia",-47.6411,-23.3189,"2018","576"
"Araucaria angustifolia",-47.0761,-21.2203,"2018","577"
"Araucaria angustifolia",-46.7172,-22.1708,"2018","578"
"Araucaria angustifolia",-50.024535,-28.444145,"2023","580"
"Araucaria angustifolia",-54.755543,-25.142002,"2023","581"
"Araucaria angustifolia",-54.245142,-25.098715,"2022","584"
"Araucaria angustifolia",-50.876722,-29.382453,"2022","588"
"Araucaria angustifolia",-50.36,-26.28,"2022","591"
